ダウンロードした時刻：2019/01/25 16:24:30

,,,東京,東京,東京,東京,東京,東京
年,月,日,天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時)
,,,,品質情報,均質番号,,品質情報,均質番号
2018,10,18,晴後曇一時雨,8,1,晴時々曇,8,1
2018,10,19,晴時々曇,8,1,曇時々雨,8,1
2018,10,20,曇一時雨後晴、雷を伴う,8,1,晴一時曇後一時雨、雷を伴う,8,1
2018,10,21,快晴,8,1,快晴,8,1
2018,10,22,曇一時晴,8,1,晴,8,1
2018,10,23,曇時々雨一時晴,8,1,曇時々雨,8,1
2018,10,24,晴一時曇,8,1,曇後晴,8,1
2018,10,25,晴後曇,8,1,晴,8,1
2018,10,26,曇後雨,8,1,曇時々晴,8,1
2018,10,27,晴時々曇,8,1,曇一時雨後晴,8,1
2018,10,28,晴,8,1,曇後晴,8,1
2018,10,29,快晴,8,1,快晴,8,1
2018,10,30,晴後薄曇,8,1,晴,8,1
2018,10,31,薄曇後晴,8,1,薄曇時々晴,8,1
2018,11,1,晴,8,1,晴,8,1
2018,11,2,晴,8,1,快晴,8,1
2018,11,3,晴後曇,8,1,晴後一時曇,8,1
2018,11,4,曇時々雨,8,1,曇後雨,8,1
2018,11,5,曇一時雨,8,1,曇時々晴一時雨,8,1
2018,11,6,雨時々曇,8,1,曇後大雨,8,1
2018,11,7,晴時々曇,8,1,晴一時曇,8,1
2018,11,8,曇後雨,8,1,晴後一時曇,8,1
2018,11,9,曇一時雨,8,1,雨時々曇,8,1
2018,11,10,曇一時雨,8,1,晴後一時曇,8,1
2018,11,11,晴時々曇,8,1,晴,8,1
2018,11,12,曇後一時雨,8,1,曇一時雨,8,1
2018,11,13,曇時々雨,8,1,曇,8,1
2018,11,14,快晴,8,1,晴,8,1
2018,11,15,快晴,8,1,快晴,8,1
2018,11,16,曇,8,1,晴後曇,8,1
2018,11,17,曇時々晴,8,1,晴時々薄曇,8,1
2018,11,18,曇一時雨,8,1,曇,8,1
2018,11,19,雨後一時曇,8,1,曇後一時雨,8,1
2018,11,20,晴一時曇,8,1,晴時々曇,8,1
2018,11,21,曇時々雨,8,1,晴一時薄曇,8,1
2018,11,22,晴,8,1,曇後一時晴,8,1
2018,11,23,曇一時晴,8,1,晴,8,1
2018,11,24,晴時々曇,8,1,曇後一時晴,8,1
2018,11,25,薄曇時々晴,8,1,晴後薄曇,8,1
2018,11,26,曇,8,1,薄曇一時晴,8,1
2018,11,27,晴,8,1,曇後晴,8,1
2018,11,28,曇時々雨後一時晴,8,1,晴後曇,8,1
2018,11,29,曇後晴,8,1,曇一時晴,8,1
2018,11,30,曇時々晴,8,1,晴後一時曇,8,1
2018,12,1,薄曇,8,1,晴一時薄曇,8,1
2018,12,2,曇一時雨,8,1,曇,8,1
2018,12,3,曇一時晴,8,1,曇,8,1
2018,12,4,曇時々晴一時雨,8,1,曇後晴,8,1
2018,12,5,曇一時雨,8,1,曇一時晴,8,1
2018,12,6,曇一時雨,8,1,雨後曇,8,1
2018,12,7,薄曇,8,1,曇,8,1
2018,12,8,晴後薄曇,8,1,曇後晴,8,1
2018,12,9,曇一時晴,8,1,薄曇後晴,8,1
2018,12,10,快晴,8,1,曇後晴,8,1
2018,12,11,雨,8,1,曇一時雨,8,1
2018,12,12,晴,8,1,雨後曇,8,1
2018,12,13,晴,8,1,曇時々雨,8,1
2018,12,14,晴時々曇,8,1,晴,8,1
2018,12,15,快晴,8,1,快晴,8,1
2018,12,16,曇一時晴後一時雨,8,1,曇一時晴後一時雨,8,1
2018,12,17,晴,8,1,雨一時曇後晴,8,1
2018,12,18,快晴,8,1,晴,8,1
2018,12,19,晴後一時薄曇,8,1,晴,8,1
2018,12,20,晴一時薄曇,8,1,薄曇時々晴,8,1
2018,12,21,曇時々晴,8,1,晴,8,1
2018,12,22,曇一時晴,8,1,晴一時曇後雨,8,1
2018,12,23,晴一時曇,8,1,曇時々雨一時晴,8,1
2018,12,24,晴後曇,8,1,晴,8,1
2018,12,25,晴時々薄曇,8,1,薄曇時々晴,8,1
2018,12,26,曇後時々晴,8,1,薄曇後一時晴,8,1
2018,12,27,晴,8,1,薄曇後晴,8,1
2018,12,28,快晴,8,1,晴,8,1
2018,12,29,快晴,8,1,晴,8,1
2018,12,30,晴,8,1,快晴,8,1
2018,12,31,晴,8,1,晴一時薄曇,8,1
