ダウンロードした時刻：2019/01/25 17:08:20

,,,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）
年,月,日,天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時)
,,,,品質情報,均質番号,,品質情報,均質番号
2005,6,20,薄曇,8,1,曇,8,1
2005,6,21,薄曇,8,1,晴後薄曇,8,1
2005,6,22,晴一時曇,8,1,晴,8,1
2005,6,23,薄曇時々晴,8,1,薄曇一時晴,8,1
2005,6,24,晴,8,1,薄曇一時晴,8,1
2005,6,25,曇時々晴,8,1,曇時々雨一時晴,8,1
2005,6,26,晴,8,1,晴時々曇,8,1
2005,6,27,晴,8,1,晴,8,1
2005,6,28,快晴,8,1,晴,8,1
2005,6,29,晴,8,1,晴,8,1
2005,6,30,晴,8,1,晴,8,1
2005,7,1,快晴,8,1,晴,8,1
2005,7,2,晴,8,1,晴,8,1
2005,7,3,晴,8,1,晴,8,1
2005,7,4,晴時々薄曇,8,1,薄曇時々晴,8,1
2005,7,5,晴,8,1,晴,8,1
2005,7,6,薄曇時々晴,8,1,晴時々薄曇,8,1
2005,7,7,薄曇時々晴,8,1,薄曇,8,1
2005,7,8,薄曇,8,1,薄曇,8,1
2005,7,9,薄曇,8,1,薄曇,8,1
2005,7,10,晴後一時薄曇,8,1,晴後一時薄曇,8,1
2005,7,11,薄曇,8,1,晴,8,1
2005,7,12,晴,8,1,晴時々薄曇,8,1
2005,7,13,晴,8,1,晴,8,1
2005,7,14,晴,8,1,晴,8,1
2005,7,15,晴,8,1,晴,8,1
2005,7,16,曇時々晴,8,1,晴時々雨,8,1
2005,7,17,曇,8,1,曇,8,1
2005,7,18,薄曇,8,1,曇,8,1
2005,7,19,薄曇時々晴,8,1,曇,8,1
2005,7,20,晴,8,1,薄曇後時々晴,8,1
2005,7,21,晴,8,1,晴,8,1
2005,7,22,晴,8,1,晴,8,1
2005,7,23,晴,8,1,晴,8,1
2005,7,24,晴一時曇,8,1,曇時々晴一時雨,8,1
2005,7,25,晴,8,1,晴,8,1
2005,7,26,晴一時雨,8,1,晴,8,1
2005,7,27,晴,8,1,晴時々曇一時雨,8,1
2005,7,28,晴,8,1,晴,8,1
2005,7,29,晴,8,1,晴,8,1
2005,7,30,晴時々薄曇,8,1,晴後時々薄曇,8,1
2005,7,31,晴,8,1,晴一時薄曇,8,1
2005,8,1,晴,8,1,晴,8,1
2005,8,2,晴,8,1,晴一時雨,8,1
2005,8,3,晴時々曇,8,1,晴一時薄曇,8,1
2005,8,4,曇,8,1,晴時々曇一時雨,8,1
2005,8,5,曇時々雨、雷を伴う,8,1,曇時々雨,8,1
2005,8,6,曇,8,1,曇時々雨、雷を伴う,8,1
